"quantile","t","haz_best","haz_aic","haz_lower_ma","haz_upper_ma"
"10%",7403.2,-9.69211122517647,-9.77385662936111,-10.6916383446232,-8.82870632890782
"36.7%",9915.8,-9.3235583472732,-9.40374621507123,-10.1970271847011,-8.80360246130447
"63.3%",17221.6,-9.02917590978483,-9.03022211135144,-9.81068621371916,-8.5377638677078
"90%",28318,-8.97580689682188,-8.92756633988645,-9.85731327645383,-8.27254698630648
