"model","par1","par2","logL","AIC","BIC","weight","mu_hat","pr_hat"
"Poisson",0.0324554993226223,NA,-137.264446765729,276.528893531458,277.962880735943,2.79199757895168e-15,30.8114193548387,0.541324854612918
"Gamma",18.9315216561004,0.614431964559148,-104.115608374581,212.231216749163,215.099191158133,0.255845716526147,30.8114205446386,0.122436085487455
"LogLogistic",7.22945699137817,29.9635194070116,-105.1165494103,214.233098820601,217.101073229571,0.0940318502439915,30.9277570679275,0.201736244893184
"Weibull",33.6742384539474,4.63538339823052,-105.488924662843,214.977849325686,217.845823734657,0.0647969351206948,30.7831590701028,-0.0624118494849838
"LogNormal",3.40124197132413,0.231082832310674,-104.011245049975,212.02249009995,214.89046450892,0.283989685144498,30.8131519136016,0.184100508985582
"BPT",30.8114194132179,0.233734400094949,-103.951957667007,211.903915334015,214.771889742985,0.301335812964666,30.8114194132179,0.184565942438364
